"Date","Clicks","Impressions","Avg. CTR"
"7/26/2026 12:00:00 AM","0","0","0"
"7/27/2026 12:00:00 AM","0","0","0"
"7/28/2026 12:00:00 AM","0","0","0"
"7/29/2026 12:00:00 AM","0","0","0"
"7/30/2026 12:00:00 AM","0","64","0"
"7/31/2026 12:00:00 AM","1","86","1.16"
"8/1/2026 12:00:00 AM","0","23","0"
"8/2/2026 12:00:00 AM","0","16","0"
"8/3/2026 12:00:00 AM","0","76","0"
"8/4/2026 12:00:00 AM","0","42","0"
"8/5/2026 12:00:00 AM","0","6","0"
"8/6/2026 12:00:00 AM","0","12","0"
"8/7/2026 12:00:00 AM","0","10","0"
"8/8/2026 12:00:00 AM","0","0","0"
"8/9/2026 12:00:00 AM","0","2","0"
