País,Cliques,Impressões,CTR,Posição
Brasil,8,1081,0.74%,68.59
Colômbia,1,7,14.29%,8
México,1,5,20%,37
Países Baixos,1,3,33.33%,62.33
Estados Unidos,0,30,0%,34.63
Índia,0,14,0%,77
Peru,0,5,0%,23.4
Argentina,0,5,0%,43.8
Ucrânia,0,5,0%,54.4
Tailândia,0,5,0%,61
Indonésia,0,5,0%,71.6
Equador,0,4,0%,3.5
Venezuela,0,4,0%,27.5
Filipinas,0,4,0%,77.75
Bangladesh,0,4,0%,86.25
Chile,0,3,0%,21.67
Bolívia,0,3,0%,49.67
Portugal,0,3,0%,52
Coréia do Sul,0,3,0%,84.33
Turquia,0,2,0%,26
Espanha,0,2,0%,29.5
Emirados Árabes Unidos,0,2,0%,38.5
Reino Unido,0,2,0%,46
Vietnã,0,2,0%,61.5
Egito,0,2,0%,72
Congo-Brazzaville,0,2,0%,84
Taiwan,0,2,0%,87
Guatemala,0,1,0%,12
Itália,0,1,0%,39
Moçambique,0,1,0%,42
Quênia,0,1,0%,46
Japão,0,1,0%,68
Canadá,0,1,0%,73
Paquistão,0,1,0%,75
Singapura,0,1,0%,75
Israel,0,1,0%,77
Nigéria,0,1,0%,84
Rússia,0,1,0%,85
Honduras,0,1,0%,90
Etiópia,0,1,0%,93
Iraque,0,1,0%,93
Mongólia,0,1,0%,96
