País,Cliques,Impressões,CTR,Posição
Brasil,3,205,1.46%,64.82
Estados Unidos,0,14,0%,13.07
Índia,0,14,0%,82.5
Filipinas,0,9,0%,87.56
Coréia do Sul,0,4,0%,89
Emirados Árabes Unidos,0,3,0%,1
Vietnã,0,3,0%,61
Colômbia,0,3,0%,64
Bangladesh,0,3,0%,70.33
Paraguai,0,2,0%,4
Nigéria,0,2,0%,7
Indonésia,0,2,0%,75.5
Israel,0,2,0%,90.5
Nicarágua,0,1,0%,3
Venezuela,0,1,0%,8
Chile,0,1,0%,9
Angola,0,1,0%,12
Jordânia,0,1,0%,56
Reino Unido,0,1,0%,71
Uzbequistão,0,1,0%,86
México,0,1,0%,88
Guatemala,0,1,0%,89
Alemanha,0,1,0%,92
Malásia,0,1,0%,93
Paquistão,0,1,0%,93
Equador,0,1,0%,97
Ucrânia,0,1,0%,97
